serviceName,sousTitre,description,logoUrl,redirectionUrl,redirectionLabel,iframeUrl,extendLabel,status,leviers,competences,regions,extraFields,isListed
UrbanVitaliz,Accompagnement personnalisé pour la réhabilitation d'une friche,"UrbanVitaliz donne des recommandations d’actions à la collectivité, en fonction du projet qu’elle lui a soumis et des caractéristiques de la friches. Elle oriente ainsi vers les acteurs, dispositifs, financements, prestations, outils et stratégies disponibles, susceptibles de débloquer le porteur de projet. ",https://urbanvitaliz.fr/static/img/favicons/apple-touch-icon.png,https://urbanvitaliz.fr/,,,,"Étude, Idée",Sobriété foncière,Aménagement et services urbains > Autres actions d'aménagement urbain,,,TRUE
UrbanVitaliz,Des ressources autour de la réhabilitation des friches urbaines,"400 fiches-solutions thématiques qui guident les collectivités dans les problèmes qu'elles peuvent rencontrer en réhabilitant un foncier à l'abandon, ainsi que des dispositifs à actionner.",https://urbanvitaliz.fr/static/img/favicons/apple-touch-icon.png,https://urbanvitaliz.fr/ressource/,Découvrir les ressources,,,"Étude, Idée",Sobriété foncière,Aménagement et services urbains > Autres actions d'aménagement urbain,,,TRUE
Le portail cartographique des énergies renouvelables,Un outil d'aide à la planification énergétique française,"Outil d'aide à la décision, mettant à disposition des données objectives et compilables sur les thématiques énergétiques en France, le portail a pour objectif principal d’appuyer les communes dans l’identification de zones potentiellement propices à l’implantation d’énergies renouvelables sur leur territoire.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://planification.climat-energie.gouv.fr/,,,,"Étude, Idée",Electricité renouvelable,"Politique de l'énergie > Energie éolienne, Politique de l'énergie > Energie hydraulique, Politique de l'énergie > Energie photovoltaïque",,,TRUE
Le portail cartographique des énergies renouvelables,Accéder aux ressources sans vous connecter,Retrouvez les données sur les zones potentiellement propice à l’implantation d’énergies renouvelables sur votre territoire.,https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://macarte.ign.fr/carte/1X3jxe/Carte-EnR-Grand-public,,,,"Étude, Idée",Electricité renouvelable,"Politique de l'énergie > Energie éolienne, Politique de l'énergie > Energie hydraulique, Politique de l'énergie > Energie photovoltaïque",,,TRUE
MiNumEco,Réduire l’empreinte environnementale du numérique public,"La MiNumEco, la Mission Interministérielle Numérique Écoresponsable, accompagne les administrations dans la réduction de l'empreinte environnementale du numérique public.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://ecoresponsable.numerique.gouv.fr/publications/strategie-numerique-responsable-des-collectivites/,,,,,NULL,Environnement / Actions transversales,,,TRUE
MiNumEco,"Le RGESN, ou référentiel général d’écoconception de services numériques, est un document de référence mené dans le cadre de la Mission interministérielle Green Tech. Son objectif est de réduire la consommation globale des ressources informatiques et énergétiques mais aussi des équipements (utilisateurs, réseau ou serveur).","Ce référentiel est mené dans le cadre de la mission interministérielle « Green Tech » et co-pilotée par la Direction interministérielle du numérique (DINUM), le Ministère de la Transition Écologique, mais également l’ADEME et l’Institut du Numérique Responsable. Les objectifs sont de réduire la consommation de ressources informatiques et énergétiques et la contribution à l’obsolescence des équipements, qu’il s’agisse des équipements utilisateurs ou des équipements réseau ou serveur.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://ecoresponsable.numerique.gouv.fr/publications/referentiel-general-ecoconception/,,,,,NULL,Environnement / Actions transversales,,,TRUE
Bénéfriches,,,,,,,,"Étude, Idée, Opération",Sobriété foncière,Aménagement et services urbains > Autres actions d'aménagement urbain,,"{name: ""surface"", label: ""Surface en m2""}",TRUE
Boussole de la Transition Écologique,,,,,,,,"Étude, Idée",,NULL,,,TRUE
France Chaleur Urbaine,,,,,,,,"Étude, Idée",Réseaux de chaleur décarbonés,Politique de l'énergie > Réseaux de chaleur et de froid,,,TRUE
Docurba,,,,,,,,"Étude, Idée, Opération",NULL,"Aménagement et services urbains > Autres actions d'aménagement urbain, Aménagement et services urbains > Opérations d'aménagement, Aménagement des territoires et habitat / Politique de la ville, Habitat (Logement), Aménagement des territoires et habitat / Autres actions, Aménagement des territoires et habitat / Aménagement et services urbains",,,TRUE
